DATE,품목명,총반입량,전일,전년
2023-10-18,배추,570,623,608
2023-10-17,배추,624,934,769
2023-10-16,배추,935,0,0
2023-10-14,배추,549,568,570
2023-10-13,배추,568,486,594
2023-10-12,배추,485,561,665
2023-10-11,배추,561,595,443
2023-10-10,배추,594,648,643
2023-10-09,배추,649,0,0
2023-10-07,배추,533,569,579
2023-10-06,배추,569,670,922
2023-10-05,배추,669,676,532
2023-10-04,배추,677,653,260
2023-10-03,배추,653,496,353
2023-10-02,배추,496,0,0
2023-09-28,배추,118,661,503
2023-09-27,배추,662,940,639
2023-09-26,배추,940,1069,540
2023-09-25,배추,1070,0,0
2023-09-23,배추,945,594,543
2023-09-22,배추,594,655,462
2023-09-21,배추,655,927,695
2023-09-20,배추,927,934,386
2023-09-19,배추,934,912,471
2023-09-18,배추,912,0,0
2023-09-16,배추,465,481,554
2023-09-15,배추,481,602,535
2023-09-14,배추,602,729,504
2023-09-13,배추,730,707,477
2023-09-12,배추,707,615,0
2023-09-11,배추,614,0,0
2023-09-09,배추,501,683,183
2023-09-08,배추,684,644,817
2023-09-07,배추,644,643,749
2023-09-06,배추,643,535,783
2023-09-05,배추,536,573,897
2023-09-04,배추,573,0,0
2023-09-02,배추,551,488,1060
2023-09-01,배추,488,400,621
2023-08-31,배추,400,488,589
2023-08-30,배추,488,450,955
2023-08-29,배추,450,732,689
2023-08-28,배추,733,0,0
2023-08-26,배추,366,297,664
2023-08-25,배추,297,472,722
2023-08-24,배추,472,537,669
2023-08-23,배추,537,552,539
2023-08-22,배추,552,554,709
2023-08-21,배추,554,0,0
2023-08-19,배추,349,390,503
2023-08-18,배추,389,492,619
2023-08-17,배추,491,524,454
2023-08-16,배추,525,478,580
2023-08-15,배추,478,526,698
2023-08-14,배추,526,0,0
2023-08-12,배추,544,396,449
2023-08-11,배추,396,400,523
2023-08-10,배추,400,353,279
2023-08-09,배추,353,565,575
2023-08-08,배추,565,576,704
2023-08-07,배추,576,0,0
2023-08-04,배추,368,419,415
2023-08-03,배추,420,272,469
2023-08-02,배추,272,296,449
2023-08-01,배추,296,373,464
2023-07-31,배추,374,0,0
2023-07-29,배추,239,242,443
2023-07-28,배추,243,296,345
2023-07-27,배추,296,415,436
2023-07-26,배추,415,417,409
2023-07-25,배추,417,374,483
2023-07-24,배추,375,0,0
2023-07-22,배추,329,491,237
2023-07-21,배추,491,390,465
2023-07-20,배추,390,245,403
2023-07-19,배추,245,428,424
2023-07-18,배추,428,636,445
