날짜,품목,품종,등급,거래단위,최저가,최고가,평균가,전일대비 등락,전일 평균대비,전7일 평균대비,전년 동월동일 평균대비
2025.05.12,미나리,돌미나리,하,4kg상자,5200,8000,7342,"1,839","5,503(133.4%)","5,809(126.4%)","7,003(104.8%)"
2025.05.12,수박,수박(일반),특,10kg상자,32000,35000,33434,692,"32,742(102.1%)","36,134(92.5%)","35,910(93.1%)"
2025.05.12,수박,수박(일반),상,10kg상자,25000,32000,27673,-638,"28,311(97.7%)","30,807(89.8%)","30,493(90.8%)"
2025.05.12,수박,수박(일반),보통,10kg상자,20000,25000,22462,-439,"22,901(98.1%)","24,204(92.8%)","22,554(99.6%)"
2025.05.12,수박,수박(일반),하,10kg상자,6000,20000,16648,-657,"17,305(96.2%)","18,129(91.8%)","13,964(119.2%)"
2025.05.12,수박,수박(일반),특,1kg,3357,3833,3553,173,"3,380(105.1%)","3,727(95.3%)","4,684(75.9%)"
2025.05.12,수박,수박(일반),상,1kg,2667,3357,2909,177,"2,732(106.5%)","3,001(96.9%)","3,142(92.6%)"
2025.05.12,수박,수박(일반),보통,1kg,2091,2667,2387,20,"2,367(100.8%)","2,556(93.4%)","2,414(98.9%)"
2025.05.12,수박,수박(일반),하,1kg,727,2091,1745,46,"1,699(102.7%)","1,819(95.9%)","1,579(110.5%)"
2025.05.12,수박,수박(일반),특,5kg개,18000,18000,18000,"2,372","15,628(115.2%)","16,942(106.2%)","20,000(90%)"
2025.05.12,수박,수박(일반),상,5kg개,13000,18000,14502,163,"14,339(101.1%)","14,754(98.3%)","19,876(73%)"
2025.05.12,수박,수박(일반),보통,5kg개,11000,13000,11583,-256,"11,839(97.8%)","12,050(96.1%)","12,868(90%)"
2025.05.12,수박,수박(일반),하,5kg개,8200,11000,10018,-135,"10,153(98.7%)","10,152(98.7%)","10,064(99.5%)"
2025.05.12,수박,수박(일반),특,6kg개,22000,22000,22000,"2,000","20,000(110%)","21,821(100.8%)","28,500(77.2%)"
2025.05.12,수박,수박(일반),상,6kg개,18000,22000,19340,"1,593","17,747(109%)","19,332(100%)","23,362(82.8%)"
2025.05.12,수박,수박(일반),보통,6kg개,16000,18000,16597,"1,532","15,065(110.2%)","16,151(102.8%)","13,665(121.5%)"
2025.05.12,수박,수박(일반),하,6kg개,10300,16000,13519,"1,548","11,971(112.9%)","12,319(109.7%)","9,236(146.4%)"
2025.05.12,수박,수박(일반),특,7kg개,23500,24000,23646,"2,646","21,000(112.6%)","23,324(101.4%)","32,500(72.8%)"
2025.05.12,수박,수박(일반),상,7kg개,20500,23500,21810,"2,455","19,355(112.7%)","21,210(102.8%)","26,685(81.7%)"
