DATE,intake,avg_price
2023-10-24,31,11858
2023-10-23,26,15885
2023-10-22,0,0
2023-10-21,21,13680
2023-10-20,18,17293
2023-10-19,24,12718
2023-10-18,28,13769
2023-10-17,31,14373
2023-10-16,46,13448
2023-10-15,0,0
2023-10-14,27,17647
2023-10-13,28,19076
2023-10-12,24,19553
2023-10-11,28,19440
2023-10-10,29,19376
2023-10-09,32,19571
2023-10-07,26,21157
2023-10-06,28,19302
2023-10-05,33,17959
2023-10-04,33,17502
2023-10-03,32,18819
2023-10-02,24,27952
2023-10-01,0,0
2023-09-30,0,0
2023-09-29,0,0
2023-09-28,5,27688
2023-09-27,33,29496
2023-09-26,47,24177
2023-09-25,53,20218
2023-09-24,0,0
2023-09-23,47,22763
2023-09-22,29,29751
2023-09-21,32,26526
2023-09-20,46,27028
2023-09-19,46,24514
2023-09-18,45,22558
2023-09-17,0,0
2023-09-16,23,22430
2023-09-15,24,22045
2023-09-14,30,19021
2023-09-13,36,17681
2023-09-12,35,19307
2023-09-11,30,19431
2023-09-09,25,17541
2023-09-08,34,15090
2023-09-07,32,16233
2023-09-06,32,16105
2023-09-05,26,17920
2023-09-04,28,16639
2023-09-02,27,14516
2023-09-01,24,13965
2023-08-31,20,13634
2023-08-30,24,11960
2023-08-29,22,13117
2023-08-28,36,13811
2023-08-27,0,0
2023-08-26,18,21114
2023-08-25,14,20085
2023-08-24,23,17313
2023-08-23,26,16485
2023-08-22,27,16681
2023-08-21,27,20136
2023-08-20,0,0
2023-08-19,17,23252
2023-08-18,19,20606
2023-08-17,24,15825
2023-08-16,26,14745
2023-08-15,23,17330
2023-08-14,26,15696
2023-08-13,0,0
2023-08-12,27,15967
2023-08-11,19,25582
2023-08-10,20,32164
2023-08-09,17,27146
2023-08-08,28,20507
2023-08-07,28,22557
2023-08-04,18,23575
2023-08-03,21,19085
2023-08-02,13,19364
2023-08-01,14,20223
2023-07-31,18,16278
2023-07-30,0,0
2023-07-29,11,14852
2023-07-28,12,15375
2023-07-27,14,11480
2023-07-26,20,9331
2023-07-25,20,8676
2023-07-24,18,13475
2023-07-23,0,0
2023-07-22,16,10764
2023-07-21,24,9285
2023-07-20,19,7731
2023-07-19,12,18405
2023-07-18,21,6865
2023-07-17,31,6754
2023-07-16,0,0
2023-07-15,6,18320
2023-07-14,12,10730
2023-07-13,12,9554
2023-07-12,22,7703
2023-07-11,20,9287
2023-07-10,18,11498
2023-07-08,17,5441
2023-07-07,24,6307
2023-07-06,11,11336
2023-07-05,19,8039
2023-07-04,21,6412
2023-07-03,25,6826
2023-07-01,13,9166
2023-06-30,16,10399
2023-06-29,23,7191
2023-06-28,25,7598
2023-06-27,14,13230
2023-06-26,20,10249
2023-06-25,0,0
2023-06-24,12,11239
2023-06-23,25,6859
2023-06-22,14,8570
2023-06-21,13,10636
2023-06-20,18,7576
2023-06-19,18,8502
2023-06-18,0,0
2023-06-17,15,8639
2023-06-16,11,10767
2023-06-15,12,10937
2023-06-14,15,7604
2023-06-13,19,8866
2023-06-12,16,9770
2023-06-11,0,0
2023-06-10,10,11878
2023-06-09,14,10172
2023-06-08,14,10338
2023-06-07,16,10448
2023-06-06,15,12901
2023-06-05,16,11261
2023-06-03,19,8550
2023-06-02,18,9717
2023-06-01,14,11998
2023-05-31,12,11800
2023-05-30,17,8139
2023-05-29,13,12870
2023-05-28,0,0
2023-05-27,10,10625
2023-05-26,16,7356
2023-05-25,22,6873
2023-05-24,19,7274
2023-05-23,19,7330
2023-05-22,25,7497
2023-05-21,0,0
2023-05-20,12,11105
2023-05-19,15,10864
2023-05-18,13,10754
2023-05-17,17,13263
2023-05-16,12,12571
2023-05-15,11,12863
2023-05-14,0,0
2023-05-13,10,9750
2023-05-12,18,8484
2023-05-11,17,9901
2023-05-10,17,11110
2023-05-09,21,11396
2023-05-08,25,12331
2023-05-06,6,17305
2023-05-05,16,13221
2023-05-04,16,12204
2023-05-03,13,12674
2023-05-02,12,12647
2023-05-01,14,11379
2023-04-30,0,0
2023-04-29,11,10852
2023-04-28,14,11046
2023-04-27,12,12490
2023-04-26,11,11932
2023-04-25,11,11778
2023-04-24,14,10862
2023-04-23,0,0
2023-04-22,10,9676
2023-04-21,12,9754
2023-04-20,14,10200
2023-04-19,16,10816
2023-04-18,15,10769
2023-04-17,17,10624
2023-04-16,0,0
2023-04-15,5,13601
2023-04-14,13,12025
2023-04-13,12,12046
2023-04-12,16,12277
2023-04-11,13,11885
2023-04-10,21,11457
2023-04-08,12,11616
2023-04-07,9,13257
2023-04-06,10,12177
2023-04-05,15,11693
2023-04-04,8,11418
2023-04-03,8,10903
2023-04-01,7,9072
2023-03-31,11,8695
2023-03-30,17,6978
2023-03-29,15,8031
2023-03-28,14,8556
2023-03-27,16,8953
2023-03-26,0,0
2023-03-25,8,8603
2023-03-24,17,8279
2023-03-23,16,8555
2023-03-22,13,8420
2023-03-21,12,8199
2023-03-20,18,7570
2023-03-19,0,0
2023-03-18,7,8500
2023-03-17,13,8414
2023-03-16,16,8300
2023-03-15,15,8168
2023-03-14,17,8369
2023-03-13,15,8684
2023-03-12,0,0
2023-03-11,5,8600
2023-03-10,15,7875
2023-03-09,21,8119
2023-03-08,16,8999
2023-03-07,11,10248
2023-03-06,17,8833
2023-03-04,11,8392
2023-03-03,17,7954
2023-03-02,10,7686
2023-03-01,14,7086
2023-02-28,15,6416
2023-02-27,15,7500
2023-02-26,0,0
2023-02-25,8,7100
2023-02-24,13,6535
2023-02-23,12,6460
2023-02-22,11,6280
2023-02-21,17,6395
2023-02-20,15,7460
2023-02-19,0,0
2023-02-18,9,6700
2023-02-17,15,6300
2023-02-16,18,7195
2023-02-15,9,7988
2023-02-14,8,6700
2023-02-13,20,6529
2023-02-12,0,0
2023-02-11,6,6700
2023-02-10,12,6308
2023-02-09,14,5840
2023-02-08,14,5524
2023-02-07,10,5782
2023-02-06,13,5681
2023-02-04,12,5505
2023-02-03,17,5536
2023-02-02,16,5951
2023-02-01,16,6239
2023-01-31,12,7100
2023-01-30,10,6768
2023-01-29,0,0
2023-01-28,8,6400
2023-01-27,9,6678
2023-01-26,2,5200
2023-01-25,6,5200
2023-01-23,0,0
2023-01-22,0,0
2023-01-21,1,4288
2023-01-20,9,4288
2023-01-19,15,4300
2023-01-18,14,4500
2023-01-17,19,4435
2023-01-16,19,4535
2023-01-15,0,0
2023-01-14,6,4300
2023-01-13,17,4600
2023-01-12,14,4728
2023-01-11,12,4374
2023-01-10,9,4094
2023-01-09,21,4317
2023-01-07,10,4685
2023-01-06,15,4700
2023-01-05,14,4690
2023-01-04,13,4856
2023-01-03,17,4800
2023-01-01,0,0
2022-12-31,8,4500
2022-12-30,20,4326
2022-12-29,18,5449
2022-12-28,14,5400
2022-12-27,16,5800
2022-12-26,9,9509
2022-12-25,0,0
2022-12-24,4,5800
2022-12-23,9,5473
2022-12-22,15,5748
2022-12-21,14,5680
2022-12-20,15,5869
2022-12-19,6,7100
2022-12-18,0,0
2022-12-17,7,5300
2022-12-16,8,4500
2022-12-15,9,3764
2022-12-14,19,4570
2022-12-13,18,4835
2022-12-12,21,5116
2022-12-11,0,0
2022-12-10,19,5093
2022-12-09,20,5426
2022-12-08,18,5173
2022-12-07,17,4550
2022-12-06,21,5000
2022-12-05,36,5601
2022-12-03,26,6039
2022-12-02,17,5560
2022-12-01,20,5624
2022-11-30,22,5740
2022-11-29,31,6448
2022-11-28,50,5965
2022-11-27,0,0
2022-11-26,55,6907
2022-11-25,50,7553
2022-11-24,35,6270
2022-11-23,45,6765
2022-11-22,34,5839
2022-11-21,52,6047
2022-11-20,0,0
2022-11-19,61,6858
2022-11-18,53,7440
2022-11-17,50,6655
2022-11-16,47,5838
2022-11-15,43,6902
2022-11-14,53,7705
2022-11-13,0,0
2022-11-12,52,8178
2022-11-11,52,7475
2022-11-10,42,7184
2022-11-09,41,7360
2022-11-08,47,7207
2022-11-07,42,7512
2022-11-05,26,7952
2022-11-04,33,7638
2022-11-03,27,7607
2022-11-02,34,6950
2022-11-01,37,7416
2022-10-31,32,7852
2022-10-30,0,0
2022-10-29,26,7908
2022-10-28,23,8996
2022-10-27,25,10135
2022-10-26,27,9091
2022-10-25,27,9415
2022-10-24,39,9424
2022-10-23,0,0
2022-10-22,27,10490
2022-10-21,30,8958
2022-10-20,28,9091
2022-10-19,27,9140
2022-10-18,30,10200
2022-10-17,38,10936
2022-10-16,0,0
2022-10-15,16,13200
2022-10-14,28,12018
2022-10-13,29,12813
2022-10-12,33,12574
2022-10-11,22,14323
2022-10-10,32,15989
2022-10-08,32,15199
2022-10-07,29,18426
2022-10-06,46,17779
2022-10-05,26,25378
2022-10-04,13,29198
2022-10-03,17,27386
2022-10-01,21,23891
2022-09-30,27,23988
2022-09-29,26,24730
2022-09-28,25,25352
2022-09-27,31,28258
2022-09-26,27,30941
2022-09-25,0,0
2022-09-24,27,29109
2022-09-23,27,32499
2022-09-22,23,37589
2022-09-21,34,35588
2022-09-20,19,41793
2022-09-19,23,37299
2022-09-18,0,0
2022-09-17,20,36110
2022-09-16,27,32765
2022-09-15,26,31229
2022-09-14,25,36672
2022-09-13,23,38619
2022-09-12,0,0
2022-09-11,0,0
2022-09-09,9,24161
2022-09-08,40,38541
2022-09-07,37,42451
2022-09-06,39,39134
2022-09-05,44,38936
2022-09-03,45,35303
2022-09-02,53,32536
2022-09-01,31,33182
2022-08-31,29,26766
2022-08-30,47,25455
2022-08-29,34,25416
2022-08-28,0,0
2022-08-27,33,22313
2022-08-26,33,21611
2022-08-25,36,19710
2022-08-24,33,19205
2022-08-23,26,19914
2022-08-22,35,18300
2022-08-21,0,0
2022-08-20,21,19015
2022-08-19,25,18862
2022-08-18,30,17170
2022-08-17,22,17979
2022-08-16,29,17430
2022-08-15,34,18502
2022-08-14,0,0
2022-08-13,22,19491
2022-08-12,22,16687
2022-08-11,26,19789
2022-08-10,14,20222
2022-08-09,28,17516
2022-08-08,35,18640
2022-08-06,0,19856
2022-08-05,25,19856
2022-08-04,20,19804
2022-08-03,23,19654
2022-08-02,22,20510
2022-08-01,23,20271
2022-07-31,0,0
2022-07-30,20,17728
2022-07-29,22,18752
2022-07-28,17,22681
2022-07-27,21,23687
2022-07-26,20,24978
2022-07-25,24,24838
2022-07-24,0,0
2022-07-23,12,29079
2022-07-22,11,24446
2022-07-21,23,20601
2022-07-20,20,22587
2022-07-19,21,21321
2022-07-18,22,21538
2022-07-17,0,0
2022-07-16,19,17843
2022-07-15,21,16329
2022-07-14,13,16562
2022-07-13,23,13505
2022-07-12,16,15961
2022-07-11,28,13554
2022-07-09,12,14066
2022-07-08,21,9768
2022-07-07,20,12848
2022-07-06,20,11938
2022-07-05,19,11000
2022-07-04,26,10079
2022-07-02,17,10003
2022-07-01,13,11000
2022-06-30,10,12771
2022-06-29,23,9704
2022-06-28,24,9700
2022-06-27,32,10211
2022-06-26,0,0
2022-06-25,13,11062
2022-06-24,27,10674
2022-06-23,21,11308
2022-06-22,23,10870
2022-06-21,24,10219
2022-06-20,19,10379
2022-06-19,0,0
2022-06-18,20,8082
2022-06-17,23,8307
2022-06-16,15,9674
2022-06-15,23,9246
2022-06-14,19,10318
2022-06-13,17,9449
2022-06-12,0,0
2022-06-11,17,7831
2022-06-10,22,8645
2022-06-09,24,9144
2022-06-08,23,10306
2022-06-07,12,10970
2022-06-06,23,10201
2022-06-04,15,11364
2022-06-03,16,11300
2022-06-02,16,11157
2022-06-01,20,10658
2022-05-31,15,11255
2022-05-30,21,9012
2022-05-29,0,0
2022-05-28,13,9000
2022-05-27,15,9151
2022-05-26,18,8587
2022-05-25,17,8636
2022-05-24,19,8980
2022-05-23,26,9361
2022-05-22,0,0
2022-05-21,18,8936
2022-05-20,22,9585
2022-05-19,19,9424
2022-05-18,18,12499
2022-05-17,22,11223
2022-05-16,27,12132
2022-05-15,0,0
2022-05-14,11,12600
2022-05-13,16,12019
2022-05-12,16,12321
2022-05-11,19,11644
2022-05-10,22,12323
2022-05-09,20,12208
2022-05-07,14,12915
2022-05-06,15,13499
2022-05-05,15,12056
2022-05-04,21,11502
2022-05-03,20,12114
2022-05-02,20,12268
2022-05-01,0,0
2022-04-30,11,11786
2022-04-29,16,11783
2022-04-28,22,12012
2022-04-27,17,12679
2022-04-26,19,12188
2022-04-25,20,12079
2022-04-24,0,0
2022-04-23,10,11800
2022-04-22,18,12087
2022-04-21,21,12189
2022-04-20,17,12229
2022-04-19,15,12400
2022-04-18,22,11973
2022-04-17,0,0
2022-04-16,10,11300
2022-04-15,12,11600
2022-04-14,19,11375
2022-04-13,19,11561
2022-04-12,21,11800
2022-04-11,19,12060
2022-04-09,11,11487
2022-04-08,19,11608
2022-04-07,15,11820
2022-04-06,23,11624
2022-04-05,18,12032
2022-04-04,18,11911
2022-04-02,10,11793
2022-04-01,15,12019
2022-03-31,14,11556
2022-03-30,13,11785
2022-03-29,15,10963
2022-03-28,17,11257
2022-03-27,0,0
2022-03-26,11,11089
2022-03-25,13,11068
2022-03-24,14,10463
2022-03-23,19,10809
2022-03-22,13,11034
2022-03-21,14,11355
2022-03-20,0,0
2022-03-19,11,10642
2022-03-18,16,10550
2022-03-17,13,10763
2022-03-16,14,10092
2022-03-15,16,10619
2022-03-14,15,10800
2022-03-13,0,0
2022-03-12,12,10263
2022-03-11,12,10273
2022-03-10,10,9980
2022-03-09,18,9315
2022-03-08,16,9103
2022-03-07,20,8892
2022-03-05,14,9155
2022-03-04,15,9820
2022-03-03,21,9932
2022-03-02,9,10682
2022-03-01,11,10143
2022-02-28,19,9247
2022-02-27,0,0
2022-02-26,13,9600
2022-02-25,11,9708
2022-02-24,13,9365
2022-02-23,18,9128
2022-02-22,9,9357
2022-02-21,23,9142
2022-02-20,0,0
2022-02-19,7,10000
2022-02-18,12,9314
2022-02-17,13,9228
2022-02-16,13,10196
2022-02-15,14,9449
2022-02-14,15,9467
2022-02-13,0,0
2022-02-12,8,9175
2022-02-11,14,9078
2022-02-10,18,9135
2022-02-09,10,9285
2022-02-08,10,8900
2022-02-07,18,8722
2022-02-05,8,9400
2022-02-04,19,9522
2022-01-31,0,0
2022-01-30,1,0
2022-01-29,9,9397
2022-01-28,17,8305
2022-01-27,17,7901
2022-01-26,25,7923
2022-01-25,19,8495
2022-01-24,28,8361
2022-01-23,0,0
2022-01-22,6,9200
2022-01-21,12,8135
2022-01-20,16,8251
2022-01-19,15,8500
2022-01-18,14,8055
2022-01-17,29,8277
2022-01-16,0,0
2022-01-15,10,9661
2022-01-14,14,8800
2022-01-13,12,8537
2022-01-12,11,8680
2022-01-11,12,7854
2022-01-10,16,8041
2022-01-08,6,8100
2022-01-07,12,7918
2022-01-06,18,7523
2022-01-05,20,8943
2022-01-04,14,9121
2022-01-03,8,9581
2022-01-01,0,0
2021-12-31,12,8062
2021-12-30,16,9536
2021-12-29,13,9340
2021-12-28,16,9132
2021-12-27,3,9096
2021-12-26,0,0
2021-12-25,8,9096
2021-12-24,10,8000
2021-12-23,12,7729
2021-12-22,18,7650
2021-12-21,18,7791
2021-12-20,16,8099
2021-12-19,0,0
2021-12-18,6,8000
2021-12-17,12,8000
2021-12-16,16,7892
2021-12-15,16,8300
2021-12-14,16,8550
2021-12-13,13,9465
2021-12-12,0,0
2021-12-11,20,8000
2021-12-10,25,8158
2021-12-09,25,8962
2021-12-08,17,9339
2021-12-07,21,9515
2021-12-06,28,9388
2021-12-04,33,9796
2021-12-03,34,10235
2021-12-02,19,11490
2021-12-01,26,10002
2021-11-30,38,10195
2021-11-29,41,11651
2021-11-28,0,0
2021-11-27,49,11047
2021-11-26,56,10638
2021-11-25,56,10931
2021-11-24,28,11699
2021-11-23,43,10447
2021-11-22,58,12026
2021-11-21,0,0
