DATE,unit,rate,avg_price
2025-01-23,10,중,10221 
2025-01-23,10,하,6929 
2025-01-22,10,특,14932 
2025-01-22,10,상,12929 
2025-01-22,10,중,11051 
2025-01-22,10,하,8229 
2025-01-21,10,특,14713 
2025-01-21,10,상,12726 
2025-01-21,10,중,10940 
2025-01-21,10,하,7864 
2025-01-20,10,특,14948 
2025-01-20,10,상,12695 
2025-01-20,10,중,11480 
2025-01-20,10,하,7769 
2025-01-19,10,특,0 
2025-01-19,10,상,0 
2025-01-19,10,중,0 
2025-01-19,10,하,0 
2025-01-18,10,특,14922 
2025-01-18,10,상,13411 
2025-01-18,10,중,11861 
2025-01-18,10,하,8794 
2025-01-17,10,특,15018 
2025-01-17,10,상,13506 
2025-01-17,10,중,11547 
2025-01-17,10,하,7545 
2025-01-16,10,특,16438 
2025-01-16,10,상,14751 
2025-01-16,10,중,12985 
2025-01-16,10,하,9672 
2025-01-15,10,특,16354 
2025-01-15,10,상,14609 
2025-01-15,10,중,12629 
2025-01-15,10,하,9585 
2025-01-14,10,특,16579 
2025-01-14,10,상,14701 
2025-01-14,10,중,12577 
2025-01-14,10,하,10279 
2025-01-13,10,특,16548 
2025-01-13,10,상,14402 
2025-01-13,10,중,12086 
2025-01-13,10,하,9494 
2025-01-12,10,특,0 
2025-01-12,10,상,0 
2025-01-12,10,중,0 
2025-01-12,10,하,0 
2025-01-11,10,특,16778 
2025-01-11,10,상,14728 
2025-01-11,10,중,12771 
2025-01-11,10,하,10784 
2025-01-10,10,특,16019 
2025-01-10,10,상,14097 
2025-01-10,10,중,12465 
2025-01-10,10,하,10342 
2025-01-09,10,특,16292 
2025-01-09,10,상,14175 
2025-01-09,10,중,12707 
2025-01-09,10,하,9541 
2025-01-08,10,특,17357 
2025-01-08,10,상,15849 
2025-01-08,10,중,13810 
2025-01-08,10,하,11298 
2025-01-07,10,특,16582 
2025-01-07,10,상,15198 
2025-01-07,10,중,13319 
2025-01-07,10,하,10602 
2025-01-06,10,특,16811 
2025-01-06,10,상,15386 
2025-01-06,10,중,13332 
2025-01-06,10,하,9955 
2025-01-04,10,특,17000 
2025-01-04,10,상,15956 
2025-01-04,10,중,14306 
2025-01-04,10,하,12299 
2025-01-03,10,특,18797 
2025-01-03,10,상,17471 
2025-01-03,10,중,15697 
2025-01-03,10,하,12835 
2025-01-02,10,특,19455 
2025-01-02,10,상,17295 
2025-01-02,10,중,15090 
2025-01-02,10,하,12998 
2025-01-01,10,특,0 
2025-01-01,10,상,0 
2025-01-01,10,중,0 
2025-01-01,10,하,0 
2024-12-31,10,특,19455 
2024-12-31,10,상,17295 
2024-12-31,10,중,15090 
2024-12-31,10,하,12998 
2024-12-30,10,특,13024 
2024-12-30,10,상,12237 
2024-12-30,10,중,11474 
2024-12-30,10,하,8018 
2024-12-29,10,특,0 
2024-12-29,10,상,0 
2024-12-29,10,중,0 
2024-12-29,10,하,0 
2024-12-28,10,특,12242 
2024-12-28,10,상,11376 
2024-12-28,10,중,10419 
2024-12-28,10,하,7717 
2024-12-27,10,특,11966 
2024-12-27,10,상,11163 
2024-12-27,10,중,10473 
2024-12-27,10,하,8455 
2024-12-26,10,특,12433 
2024-12-26,10,상,11464 
2024-12-26,10,중,10035 
2024-12-26,10,하,6364 
2024-12-25,10,특,12149 
2024-12-25,10,상,10511 
2024-12-25,10,중,10040 
2024-12-25,10,하,7636 
2024-12-24,10,특,12487 
2024-12-24,10,상,11229 
2024-12-24,10,중,10524 
2024-12-24,10,하,8716 
2024-12-23,10,특,12625 
2024-12-23,10,상,11596 
2024-12-23,10,중,10733 
2024-12-23,10,하,8323 
2024-12-22,10,특,0 
2024-12-22,10,상,0 
2024-12-22,10,중,0 
2024-12-22,10,하,0 
2024-12-21,10,특,12819 
2024-12-21,10,상,12148 
2024-12-21,10,중,11570 
2024-12-21,10,하,9341 
2024-12-20,10,특,12493 
2024-12-20,10,상,11843 
2024-12-20,10,중,11369 
2024-12-20,10,하,9081 
2024-12-19,10,특,10599 
2024-12-19,10,상,9730 
2024-12-19,10,중,9070 
2024-12-19,10,하,6736 
2024-12-18,10,특,12826 
2024-12-18,10,상,12517 
2024-12-18,10,중,11571 
2024-12-18,10,하,10203 
2024-12-17,10,특,10362 
2024-12-17,10,상,9363 
2024-12-17,10,중,8686 
2024-12-17,10,하,7674 
2024-12-16,10,특,13056 
2024-12-16,10,상,11615 
2024-12-16,10,중,10564 
