DATE,품목명,단위(키로),등급명,평균가격,전일,전년,반입량
2021-10-19,배추,10,1,6937,7371,0,28
2021-10-20,배추,10,1,6689,6937,9334,33
2021-10-20,배추,10,0,5021,6045,7579,232
2021-10-21,배추,10,0,4664,5021,7265,231
2021-10-21,배추,10,1,6948,6689,8708,33
2021-10-22,배추,10,0,6466,4664,6987,184
2021-10-22,배추,10,1,8247,6948,8323,26
2021-10-23,배추,10,0,7456,6466,6629,160
2021-10-23,배추,10,1,9105,8247,8151,22
2021-10-25,배추,10,0,6574,0,5931,247
2021-10-25,배추,10,1,8489,0,7916,35
2021-10-26,배추,10,0,5982,6574,0,262
2021-10-26,배추,10,1,8320,8489,0,37
2021-10-27,배추,10,0,6155,5982,6472,211
2021-10-27,배추,10,1,7973,8320,7366,30
2021-10-28,배추,10,0,6435,6155,6344,239
2021-10-28,배추,10,1,7959,7973,7405,34
2021-10-29,배추,10,1,8311,7959,6733,33
2021-10-29,배추,10,0,7002,6435,5587,231
2021-10-30,배추,10,0,7457,7002,5498,226
2021-10-30,배추,10,1,8913,8311,6711,32
2021-11-01,배추,10,0,7622,0,4969,243
2021-11-01,배추,10,1,9027,0,6055,34
2021-11-02,배추,10,0,7502,0,0,253
2021-11-02,배추,10,1,9201,0,0,36
2021-11-03,배추,10,0,8655,0,0,204
2021-11-03,배추,10,1,10038,0,0,29
2021-11-04,배추,10,1,10456,0,0,39
2021-11-04,배추,10,0,8786,0,0,276
2021-11-05,배추,10,0,11185,0,0,237
2021-11-05,배추,10,1,12486,0,0,33
2021-11-06,배추,10,0,10921,0,0,357
2021-11-06,배추,10,1,12865,0,0,51
2021-11-08,배추,10,0,10257,0,0,438
2021-11-08,배추,10,1,12664,0,0,62
2021-11-09,배추,10,0,9834,0,0,287
2021-11-09,배추,10,1,12674,0,0,41
2021-11-10,배추,10,0,10693,0,0,300
2021-11-10,배추,10,1,12661,0,0,42
2021-11-11,배추,10,1,13906,12661,7317,46
2021-11-11,배추,10,0,12181,10693,6140,324
2021-11-12,배추,10,1,14540,13906,7474,69
2021-11-12,배추,10,0,12513,12181,6131,486
2021-11-13,배추,10,0,12810,12513,6388,411
2021-11-13,배추,10,1,14255,14540,7616,58
2021-11-15,배추,10,0,10020,0,6610,552
2021-11-15,배추,10,1,12693,0,8275,78
2021-11-16,배추,10,0,7797,10020,0,408
2021-11-16,배추,10,1,10147,12693,0,58
2021-11-17,배추,10,0,8257,7797,5698,444
2021-11-17,배추,10,1,10473,10147,7271,63
2021-11-18,배추,10,1,13082,10473,7563,58
